inputs,target
i tell jokes on stage. @ i date a lot of girls.,Being a comedian has opened up a lot of dating opportunities for me.
i tell jokes on stage. @ i date a lot of girls.,"Great, does that get you a lot of ladies? I love meeting new women."
i tell jokes on stage. @ i date a lot of girls.,I talk about the women I have dated in my jokes.
"i enjoy eating to match my work out. @  i eat healthy and do not eat cakes , candy or sweets.",Food keeps me healthy.
"i enjoy eating to match my work out. @  i eat healthy and do not eat cakes , candy or sweets.","Eating healthy is good for your body.  I don't eat cakes, candy, or sweets."
"i enjoy eating to match my work out. @  i eat healthy and do not eat cakes , candy or sweets.",I look for protein after exercising.
i work as a scientist. @ my parents were scientists.,"It's not my chosen field, but I have immense respect for it as both of my parents were scientists"
i work as a scientist. @ my parents were scientists.,I think what our parents do has a great effect on what career we choose.
i have my own salon. @ i live on a boat.,There is a person who runs a salon from his boat.
i like steak. @ apartment living was nice but it is time to move on.,"I prefer chicken over steak. So where are you moving? To another apartment, or are you getting a home?"
i like steak. @ apartment living was nice but it is time to move on.,"I only like my steak grilled, but I haven't had an outdoor grill what with living in an apartment. Maybe it's time I moved into a place with a lawn."
i like steak. @ apartment living was nice but it is time to move on.,I live in a great neighborhood with a nice steakhouse around the corner.
i went past my masters and have higher qualifications in the books and letters of rome. @ my sibling believes they are a buccaneer.,I have high qualifications in pirate history.
i went past my masters and have higher qualifications in the books and letters of rome. @ my sibling believes they are a buccaneer.,I think people should live like their school mascot.
i went past my masters and have higher qualifications in the books and letters of rome. @ my sibling believes they are a buccaneer.,"I was lucky to even make it to college, as it wasn't a priority in my family."
"i am happy a lot of the time. @  lina , my greyhound , is a source of constant affection.",Most of the times I’m happy because of the constant affection from my dog Lena.
"i am happy a lot of the time. @  lina , my greyhound , is a source of constant affection.",I am happiest when I am hanging out with my dog.
"i am happy a lot of the time. @  lina , my greyhound , is a source of constant affection.",having pets helps in making me happy
i have a dog named socks. @ dancing is my passion.,My dog's name is Popcorn and she is my buddy.  I watched Funny Dancing Dogs Compilation on you tube last night since dancing is my passion.
i would like to work for the smithsonian. @ i hate winter and the cold.,I have a dream of working in Yellowstone National Park during the winter.
i would like to work for the smithsonian. @ i hate winter and the cold.,"I wouldn't want to work in D.C., though."
i would like to work for the smithsonian. @ i hate winter and the cold.,It'd be nice to be in Washington - the weather's usually pretty good there.
i hate overtime. @ i take care of people.,I believe my recent career change helped me not to mind longer hours.
i hate overtime. @ i take care of people.,I hate when I have to work overtime.  I have to take care of my crew and make sure they don't get overtired.
i hate overtime. @ i take care of people.,I don't like overtime either becuse I would rather spend my time doing what I like to do which is taking care of people.
my canines stay at my residence alone when i travel to see family. @ i own a car.,I don't have any pets.  I don't think I'd like them in my car.
my canines stay at my residence alone when i travel to see family. @ i own a car.,"It's a new car and I won't let my dog inside because he'll get hair everywhere, so he also has to stay home alone when I go driving."
my canines stay at my residence alone when i travel to see family. @ i own a car.,My dogs simply cannot come with me.  They are too big for my small car.
i am a woman. @ we have a dog.,I am a female pet lover.
i try to keep active. @ i am a server on the weekends.,"That's cool, I like to bike to work to be more active, what do you do for work?"
i try to keep active. @ i am a server on the weekends.,Keeping active is very important.  That is why on the weekends I work as a server since it keeps me moving.
i try to keep active. @ i am a server on the weekends.,"I try to keep active, so I exercise every morning during the week. That's the only time I can do it because I am a server on the weekends."
i have a lot of kids. @ i am making a scarf for my daughter.,This year I will be making scarfs for all my daughters and hats for the boys.
i have a lot of kids. @ i am making a scarf for my daughter.,I make scarfs for my kids.
i have a lot of kids. @ i am making a scarf for my daughter.,I guess the cool thing about having kids is that they are like little people/adults in a sense.
i have a lot of kids. @ i am making a scarf for my daughter.,I like to make things for my kids.
i have a lot of kids. @ i am making a scarf for my daughter.,I only have a daughter.  I'm making a scarf for her.
i have a lot of kids. @ i am making a scarf for my daughter.,"For my other three kids, I'm making them all sweaters. I have a lot of kids and can't afford to buy them all presents, so I make them presents."
dolls are fun to play with. @ my child cannot see.,I help my blind child learn about things by using educational dolls he can touch.
dolls are fun to play with. @ my child cannot see.,My daughter enjoys feeling the facial features on her dolls.
dolls are fun to play with. @ my child cannot see.,"Dolls are fun to play with and my daughter enjoys the feel and the softness of them, too, which is good because my child cannot see."
i am not a good artist. @ i like soccer.,"To be a good artist, one needs the talent. Although I don't have the talent of sport, I like soccer."
my mom is the best baker in my family. @ i am in my second year of medical school.,My family are all doctors who aren't good at baking. I am in my second year of medical school.
i enjoy playing tennis. @ my favorite place to go is the mall.,I enjoy going to walk in the mall.
i enjoy playing tennis. @ my favorite place to go is the mall.,I am into indoor activities.
i enjoy playing tennis. @ my favorite place to go is the mall.,One of my favorite places to go is the mall and I see a few new tennis stores in there.
i really enjoy doing vocals with the band. @ i am a parent twice both children are young.,"I used to do that when I was younger. Now I have two kids of my own and they adore music, too."
i really enjoy doing vocals with the band. @ i am a parent twice both children are young.,i remember being in a band when I was a child.
i really enjoy doing vocals with the band. @ i am a parent twice both children are young.,Band practice is hard sometimes when you have a family to take care of.
i am a cat owner. @ i love to travel.,I want to visit the cat cafe in Portland.
i am a cat owner. @ i love to travel.,I often have to find someone to pet-sit my cat because I really love to travel.
i found my spouse at a musical performance by a boy band. @ i have an older brother and an older sister.,My brother is in a boy band.
i found my spouse at a musical performance by a boy band. @ i have an older brother and an older sister.,"That's cool! I met my current husband through my brother, do you have any siblings?"
i found my spouse at a musical performance by a boy band. @ i have an older brother and an older sister.,My siblings were not supportive of our relationship
i enjoy clothing with logos on it. @ the temperature here is quite brisk and yet it is gorgeous after the thaw.,I have just been getting Wintet clothing since the temps here were much colder than usual for a few days.
i enjoy clothing with logos on it. @ the temperature here is quite brisk and yet it is gorgeous after the thaw.,"I have a few name brand shirts, but it's really too cold to wear them outside right now."
i enjoy clothing with logos on it. @ the temperature here is quite brisk and yet it is gorgeous after the thaw.,I wear my logo sweatshirt in the cold weather outside.
i lost one of my parents a while ago. @ it is difficult for me to connect to others.,Losing a parent can cause a lot of stress.
i lost one of my parents a while ago. @ it is difficult for me to connect to others.,I know I am affected by my parents dying when I was very young.
i lost one of my parents a while ago. @ it is difficult for me to connect to others.,"I lost one of my parents a while ago and it's been very difficult to cope. To tell you the truth, I've always been a little shy but it's difficult for me to connect to others now more than ever."
in reality i am 32 and live at home with my mother. @ i miss my dad.,Both of my parents died.
we have a dog. @ my parents are still married.,I also have a dog. I adopted it when my parents got divorced.
we have a dog. @ my parents are still married.,My parents let me have a dog when I was a child.
we have a dog. @ my parents are still married.,My parents have the same dog that they had 10 years when they first got married.
i visited europe in june. @ i have a basic job.,"A lot of people think international travel is expensive, but even my very basic job allowed me to budget for it."
i visited europe in june. @ i have a basic job.,I can't afford to go to Europe because I have a basic job.
i visited europe in june. @ i have a basic job.,I can't go to Europe because my job doesn't pay me enough.
i am a grandmother. @ i have been a wife for a short amount of time.,I am a newlywed with a grandchildren.
i am a grandmother. @ i have been a wife for a short amount of time.,"I am a grandmother but even though I'm older, I recently got married again. So I have been a wife for a short amount of time."
i am a grandmother. @ i have been a wife for a short amount of time.,I got married for the first time.
i am a father. @ i like basketball.,I grew up in a house that watched a lot of sports. I believe that's why I like basketball.
i am a father. @ i like basketball.,I really like to spent time outside with my boys playing basketball.  Fortunately I like basketball.
i am a father. @ i like basketball.,I like basketball a lot and see a lot of fathers with their sons playing at the park I go to.
i love to eat cheese. @ i like to cook stews.,Have you ever tried cooking in a Crock Pot?
i love to eat cheese. @ i like to cook stews.,I like cheese as a side to a hot dish.  Like a stew or soup.
i love to eat cheese. @ i like to cook stews.,"I'm lactose intolerant unfortunately. I prefer to make soups and stews, especially in this cold weather."
i enjoy walking my canine friend. @ i own a pet reptile.,I like animals and have a few different kinds of pets.
i enjoy walking my canine friend. @ i own a pet reptile.,"I don't just have dogs, I also have other types of pets."
i enjoy walking my canine friend. @ i own a pet reptile.,"How nice! I am an animal lover myself—in fact, I have a pet reptile at home!"
i love meat. @ i have a new job selling cars.,My tastes are too expensive.
i love meat. @ i have a new job selling cars.,I had a steak last night to celebrate my new job selling cars.
i have a short commute to get to my job. @ i just moved out of my parents to live on my own.,Yeah that is likely the most stress-free way of doing it and saving money/time..
i have a short commute to get to my job. @ i just moved out of my parents to live on my own.,My parents live near where I work.
i have a short commute to get to my job. @ i just moved out of my parents to live on my own.,One of the reasons I moved is because my new apartment is right next door to my job. It takes me five minutes to walk there.
i like to race rc cars. @ i love to eat fish.,I love when it rains.
i like to race rc cars. @ i love to eat fish.,Rc racing is my favorite hobby along with fishing.
i like to race rc cars. @ i love to eat fish.,i like to race rc cars and eat fish
i learnt to drive. @ i like making a salmon entree.,"That's awesome! Recently, I've started to learn how to cook, is there any dish you're good at making?"
i learnt to drive. @ i like making a salmon entree.,I had a rough night sleeping in my new bed last night.
i learnt to drive. @ i like making a salmon entree.,I just learned to drive too. last night I drove to the store to pick up some salmon - it's my favorite fish. I make a great salmon entree.
i am in the army. @ i fly airplanes.,I am in military also but in the airforce branch as a pilot.
i am in the army. @ i fly airplanes.,"What a coincidence, I'm in the Air Force. I travel all over and fly airplanes."
i am a competitive ski racer. @ although i ski down high hills,Thats cool. Those high hills look scary.
i am a competitive ski racer. @ although i ski down high hills,I don't like high terrain.
