inputs,target
i lost one of my parents a while ago. @ it is difficult for me to connect to others.,Losing a parent can cause a lot of stress.
i lost one of my parents a while ago. @ it is difficult for me to connect to others.,I know I am affected by my parents dying when I was very young.
i lost one of my parents a while ago. @ it is difficult for me to connect to others.,"I lost one of my parents a while ago and it's been very difficult to cope. To tell you the truth, I've always been a little shy but it's difficult for me to connect to others now more than ever."
i am a woman. @ i have several children.,I'm also a woman and I'm a mother. I have several children.
i am a woman. @ i have several children.,"Me too, do you have any children?"
i enjoy sitting in front of the tv. @ i have a lot of kids.,I like to watch tv with my kids.
i enjoy sitting in front of the tv. @ i have a lot of kids.,I like watching kids TV shows
i enjoy sitting in front of the tv. @ i have a lot of kids.,I relax watching tv when I am not tending to the kids.
i love my pets. @ i am a educator.,I work as a dog trainer.
i love my pets. @ i am a educator.,I have pets in my classroom.  I am a teacher.
i love my pets. @ i am a educator.,I used to be a pet groomer while I was a student.
lately i have been learning how to garden. @ i am a musician with a day job.,I haven't had a lot of time in the past.
lately i have been learning how to garden. @ i am a musician with a day job.,I love to garden and to play the piano.  I am a musician with a day job.
lately i have been learning how to garden. @ i am a musician with a day job.,"I wish I had time for gardening, but I'm a musician, plus I have a day job."
i ride in a sporty vehicle. @ my father has a job on an oil rig.,I work on cars as a mechanic.
i ride in a sporty vehicle. @ my father has a job on an oil rig.,vehicles and machinery fascinate me
i ride in a sporty vehicle. @ my father has a job on an oil rig.,I have liked the idea of driving my own sports car but I would never have the money to do that.
"i have a lot of kids and pets. @  diesels or gasoline , i can fix them all.","I have a lot of kids and pets so I need to work all the time to support them. But I'm good at my job as a mechanic—diesels or gasoline, I can fix all of them."
"i have a lot of kids and pets. @  diesels or gasoline , i can fix them all.",I have a rather large family that I support.  I do this by fixing diesel or gasoline engines.
"i have a lot of kids and pets. @  diesels or gasoline , i can fix them all.",I work as a mechanic to support my family.
"i have a lot of kids and pets. @  diesels or gasoline , i can fix them all.",My kids all went off to college so I have a lot of free time to work on my cars.
"i have a lot of kids and pets. @  diesels or gasoline , i can fix them all.","I have a lot of kids and pets, which keeps me almost as busy as my job at the garage. So if you're ever having engine trouble, just bring your car in—diesels or gasoline, I can fix them all."
"i have a lot of kids and pets. @  diesels or gasoline , i can fix them all.",My kids help me work on cars.  I can fix diesel or gas engines.
i live in the state by colorado. @ my spouse works putting out fires.,"There are alot of fires in Colorodo right now, and my husband is a firefighter."
i live in the state by colorado. @ my spouse works putting out fires.,"Oh, wow, the western states have really had a problem with wildfires this summer.  My spouse works putting out fires."
i live in the state by colorado. @ my spouse works putting out fires.,there are a lot of forest fires in colorado
my husband and i have 4 daughters and 1 son. @ i hate seeing animals in pain.,Our family adopted a dog from the streets.
my husband and i have 4 daughters and 1 son. @ i hate seeing animals in pain.,They are all depressed about our sick puppy.
my husband and i have 4 daughters and 1 son. @ i hate seeing animals in pain.,"I don't have any children myself, but  I hate seeing needy animals in pain, so the ones I foster from vet clinics end up feeling like family."
i think posting pics on facebook of my everyday life is fun. @ in the future i want to drive a large vehicle.,"The larger the vehicle someone drives, the more likes they get on facebook, so I'm hoping upgrading to a large vehicle will make me more popular online."
i think posting pics on facebook of my everyday life is fun. @ in the future i want to drive a large vehicle.,I love showing my life on social media.  One day I'll show off a pic of my new big truck
i think posting pics on facebook of my everyday life is fun. @ in the future i want to drive a large vehicle.,I post pictures of my car on Facebook.
i like to go to the park. @ i am stuck in a wheel chair.,The park is fun.  Being in a wheel chair makes me want to visit more parks with wide paths.
i like to go to the park. @ i am stuck in a wheel chair.,I love going to the park as well. I usually bring lunch and watch people as I am stuck in a wheel chair.
i like to go to the park. @ i am stuck in a wheel chair.,i wish i could go too. i'm immobile in a wheelchair...
i have a passion for politics. @ i work at a candy store.,But right now I just work
i love my girlfriend. @ i dyed my hair pink.,"My girlfriend loves Pink, the singer.  She has pink hair and that is why I dyed my hair pink."
i love my girlfriend. @ i dyed my hair pink.,I wanted to do something special for her and I know that she likes pink hair.
i enjoy peaceful sitting. @ i avoid eating broccoli.,Sitting and just eating or drinking sometimes is the way to go in life.
i enjoy peaceful sitting. @ i avoid eating broccoli.,I don't like foods that give me gas as it ruins the peace.
i enjoy peaceful sitting. @ i avoid eating broccoli.,"For some reason eating broccoli always makes me anxious, and prevents me from feeling peaceful and relaxing."
i dropped out of college a month ago. @ i like basketball.,I love to watch birds.
i dropped out of college a month ago. @ i like basketball.,"That stinks, I'm sorry. I just got in on a basketball scholarship."
i dropped out of college a month ago. @ i like basketball.,"I dropped out of college a month ago and I'm not sure what I'm going to do with my life, but I'll probably pursue an athletic career because I like basketball."
i volunteer at an animal shelter. @ my child is now an adult.,I used to work at a shelter when my son was younger.  He's an adult now.
i volunteer at an animal shelter. @ my child is now an adult.,Now that my child is older I have more time for volunteering.
i volunteer at an animal shelter. @ my child is now an adult.,"I've always wanted to do this kind of work, but was busy being a mom. But I have more time now because"
i am a great cook. @ i have a daughter.,I'm not a great cook but I love cooking for my family. I have a son and a daughter.
i am a great cook. @ i have a daughter.,I'm a great cook and have a daughter.
i am a great cook. @ i have a daughter.,I met my wife working at the restaurant. We married and had a child.
i enjoy skateboarding and going skiing. @ we had 5 felines but one had to go since it hated both of our mutts.,"I wish I could do either of those things, but I do have other hobbies at least."
i enjoy skateboarding and going skiing. @ we had 5 felines but one had to go since it hated both of our mutts.,Usually I bring my dogs along with me.
